"FileSize","IsLogFull","LastAccessTime","LastWriteTime","OldestRecordNumber","RecordCount","LogName","LogType","LogIsolation","IsEnabled","IsClassicLog","SecurityDescriptor","LogFilePath","MaximumSizeInBytes","LogMode","OwningProviderName","ProviderNames","ProviderLevel","ProviderKeywords","ProviderBufferSize","ProviderMinimumNumberOfBuffers","ProviderMaximumNumberOfBuffers","ProviderLatency","ProviderControlGuid"
"2166784","False","9/3/2021 14:10:33","9/3/2021 14:08:33","1","1608","Windows PowerShell","Administrative","Application","True","True","O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0x2;;;S-1-15-3-1024-3153509613-960666767-3724611135-2725662640-12138253-543910227-1950414635-4190290187)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)","%SystemRoot%\System32\Winevt\Logs\Windows PowerShell.evtx","15728640","Circular","","System.String[]",,,"64","0","64","1000",
"69632","False","9/3/2021 15:32:41","6/29/2021 07:18:00","0","0","Windows Azure","Administrative","Application","True","True","O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0x2;;;S-1-15-3-1024-3153509613-960666767-3724611135-2725662640-12138253-543910227-1950414635-4190290187)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)","%SystemRoot%\System32\Winevt\Logs\Windows Azure.evtx","1052672","Circular","","System.String[]",,,"64","0","64","1000",
"69632","False","9/3/2021 15:32:41","6/29/2021 07:18:00","0","0","TechSmith","Administrative","Application","True","True","O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0x2;;;S-1-15-3-1024-3153509613-960666767-3724611135-2725662640-12138253-543910227-1950414635-4190290187)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)","%SystemRoot%\System32\Winevt\Logs\TechSmith.evtx","16777216","Circular","","System.String[]",,,"64","0","64","1000",
"13701120","False","9/3/2021 15:32:08","9/3/2021 15:32:08","1","26791","System","Administrative","System","True","True","O:BAG:SYD:(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x3;;;BO)(A;;0x5;;;SO)(A;;0x1;;;IU)(A;;0x3;;;SU)(A;;0x1;;;S-1-5-3)(A;;0x2;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)","%SystemRoot%\System32\Winevt\Logs\System.evtx","20971520","Circular","","System.String[]",,,"64","0","16","1000",
"1052672","False","9/3/2021 14:10:33","9/2/2021 22:44:59","1","122","OAlerts","Administrative","Application","True","True","O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0x2;;;S-1-15-3-1024-3153509613-960666767-3724611135-2725662640-12138253-543910227-1950414635-4190290187)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)","%SystemRoot%\System32\Winevt\Logs\OAlerts.evtx","1052672","Circular","","System.String[]",,,"64","0","64","1000",
"69632","False","9/3/2021 15:32:41","6/29/2021 07:18:00","0","0","Key Management Service","Administrative","Application","True","True","O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0x2;;;S-1-15-3-1024-3153509613-960666767-3724611135-2725662640-12138253-543910227-1950414635-4190290187)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)","%SystemRoot%\System32\Winevt\Logs\Key Management Service.evtx","20971520","Circular","","System.String[]",,,"64","0","64","1000",
"69632","False","9/3/2021 15:32:41","6/29/2021 07:18:00","0","0","Internet Explorer","Administrative","Application","True","True","O:BAG:SYD:(A;;0x07;;;WD)S:(ML;;0x1;;;LW)","%SystemRoot%\System32\Winevt\Logs\Internet Explorer.evtx","1052672","Circular","","System.String[]",,,"64","0","64","1000",
"69632","False","9/3/2021 15:32:41","6/29/2021 07:18:00","0","0","HardwareEvents","Administrative","Application","True","True","O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0x2;;;S-1-15-3-1024-3153509613-960666767-3724611135-2725662640-12138253-543910227-1950414635-4190290187)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)","%SystemRoot%\System32\Winevt\Logs\HardwareEvents.evtx","20971520","Circular","","System.String[]",,,"64","0","64","1000",
"15798272","False","9/3/2021 15:31:38","9/3/2021 15:31:33","1","27460","Application","Administrative","Application","True","True","O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0x2;;;S-1-15-3-1024-3153509613-960666767-3724611135-2725662640-12138253-543910227-1950414635-4190290187)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)","%SystemRoot%\System32\Winevt\Logs\Application.evtx","20971520","Circular","","System.String[]",,,"64","0","64","1000",
,,,,,,"Windows Networking Vpn Plugin Platform/OperationalVerbose","Operational","Custom","False","False","O:SYG:SYD:(A;;0x7;;;BA)(A;;0x7;;;NO)(A;;0x7;;;AU)(A;;0x7;;;S-1-15-3-1024-2579400809-3867311217-3984994116-908665914-3508570097-1336497314-873935804-1444405236)(A;;0x7;;;S-1-15-3-1024-1068037383-729401668-2768096886-125909118-1680096985-174794564-3112554050-3241210738)","%SystemRoot%\System32\Winevt\Logs\Windows Networking Vpn Plugin Platform%4OperationalVerbose.evtx","1052672","Circular","Microsoft-Windows Networking VPN Plugin Platform","System.String[]",,,"64","0","64","1000",
,,,,,,"Windows Networking Vpn Plugin Platform/Operational","Operational","Custom","False","False","O:SYG:SYD:(A;;0x7;;;BA)(A;;0x7;;;NO)(A;;0x7;;;AU)(A;;0x7;;;S-1-15-3-1024-2579400809-3867311217-3984994116-908665914-3508570097-1336497314-873935804-1444405236)(A;;0x7;;;S-1-15-3-1024-1068037383-729401668-2768096886-125909118-1680096985-174794564-3112554050-3241210738)","%SystemRoot%\System32\Winevt\Logs\Windows Networking Vpn Plugin Platform%4Operational.evtx","1052672","Circular","Microsoft-Windows Networking VPN Plugin Platform","System.String[]",,,"64","0","64","1000",
"69632","False","9/3/2021 15:32:41","6/30/2021 18:10:31","0","0","SMSApi","Operational","Application","True","False","O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0x2;;;S-1-15-3-1024-3153509613-960666767-3724611135-2725662640-12138253-543910227-1950414635-4190290187)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)","%SystemRoot%\System32\Winevt\Logs\SMSApi.evtx","1052672","Circular","Microsoft-Windows-Mobile-Broadband-Experience-SmsApi","System.String[]",,,"64","0","64","1000",
